Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
SRR8074558	0.066	0.00477	622.2	0.976	0.710	57.0	96.0	20122.0	619.0	0.327	0.0239	4.56	6.59	1.98
SRR8074559	0.0858	0.00421	449.5	0.975	0.725	53.1	83.8	19896.0	448.0	0.241	0.0253	4.43	6.39	1.92
SRR8074560	0.105	0.00531	322.0	0.976	0.808	62.8	106.4	20040.0	322.0	0	0.0236	4.67	6.73	2.03
SRR8074561	0.074	0.00576	548.8	0.981	0.752	72.7	114.9	19946.0	547.0	0.254	0.0187	4.74	6.84	2.06
SRR8074562	0.0637	0.00596	543.0	0.981	0.760	72.9	119.8	20090.0	543.0	0	0.0189	4.79	6.90	2.08
SRR8074563	0.0881	0.00662	531.0	0.982	0.779	81.5	132.5	20028.0	531.0	0	0.0177	4.89	7.05	2.12
SRR8074564	0.0585	0.00635	624.8	0.984	0.752	82.5	126.7	19966.0	623.0	0.279	0.016	4.84	6.99	2.10
SRR8074565	0.073	0.00608	659.2	0.980	0.739	70.6	121.1	19908.0	657.0	0.260	0.0201	4.80	6.92	2.08
SRR8074566	0.0445	0.00605	627.1	0.984	0.745	79.1	120.6	19942.0	623.0	0.303	0.0162	4.79	6.91	2.08
SRR8074567	0.045	0.00692	711.6	0.985	0.752	87.8	138.4	20017.0	703.0	0.335	0.0151	4.93	7.11	2.14
SRR8074568	0.0813	0.00466	504.8	0.978	0.728	59.6	93.0	19949.0	504.0	0.220	0.0225	4.53	6.54	1.97
SRR8074569	0.0565	0.006	558.7	0.983	0.757	78.4	119.6	19951.0	555.0	0.300	0.017	4.78	6.90	2.08
SRR8074570	0.058	0.0064	533.1	0.984	0.773	84.1	127.7	19957.0	532.0	0.193	0.0159	4.85	7.00	2.11
SRR8074571	0.085	0.00697	669.9	0.983	0.760	86.2	140.1	20097.0	667.0	0.280	0.0167	4.94	7.13	2.15
SRR8074572	0.0597	0.00508	345.0	0.980	0.791	66.6	101.5	19982.0	345.0	0	0.02	4.62	6.66	2.01
SRR8074573	0.132	0.00478	628.4	0.970	0.708	51.1	95.7	20044.0	626.0	0.287	0.0301	4.56	6.58	1.98
SRR8074574	0.0565	0.00496	454.0	0.980	0.752	65.0	99.3	20033.0	454.0	0	0.0198	4.60	6.63	2.00
SRR8074575	0.0732	0.0055	560.9	0.979	0.742	66.0	109.7	19951.0	560.0	0.214	0.0212	4.70	6.78	2.04
SRR8074576	0.0787	0.0056	478.0	0.979	0.765	66.8	112.0	20004.0	478.0	0	0.021	4.72	6.81	2.05
SRR8074577	0.0467	0.00631	541.1	0.985	0.769	85.9	126.3	20032.0	539.0	0.231	0.0148	4.84	6.98	2.10
SRR8074578	0.0533	0.00595	566.7	0.982	0.754	76.0	118.9	19993.0	566.0	0.212	0.0176	4.78	6.89	2.08
SRR8074579	0.174	0.00232	475.0	0.928	0.622	21.0	46.2	19955.0	473.0	0.281	0.0723	3.83	5.53	1.66
SRR8074580	0.0521	0.00592	592.9	0.982	0.748	74.9	118.4	19989.0	592.0	0.224	0.0177	4.77	6.89	2.07
SRR8074581	0.175	0.00396	640.8	0.954	0.677	36.8	79.3	20022.0	636.0	0.366	0.0455	4.37	6.31	1.90
SRR8074582	0.102	0.00611	636.6	0.978	0.745	69.2	122.0	19965.0	630.0	0.288	0.0219	4.80	6.93	2.09
SRR8074583	0.0437	0.00673	642.7	0.984	0.759	83.3	134.3	19970.0	638.0	0.235	0.0161	4.90	7.07	2.13
SRR8074584	0.0963	0.00431	523.5	0.974	0.712	52.9	86.0	19966.0	520.0	0.298	0.0258	4.45	6.43	1.93
SRR8074585	0.0467	0.00585	508.6	0.984	0.764	79.1	116.5	19926.0	506.0	0.235	0.0161	4.76	6.86	2.07
SRR8074586	0.0605	0.00543	672.7	0.980	0.720	67.0	108.5	19975.0	670.0	0.317	0.0197	4.69	6.76	2.04
SRR8074587	0.0636	0.00566	572.2	0.983	0.745	75.2	113.1	19994.0	570.0	0.285	0.0172	4.73	6.82	2.05
SRR8074591	0.0579	0.00516	502.4	0.980	0.745	66.0	102.9	19965.0	501.0	0.227	0.0199	4.63	6.69	2.01
SRR8074592	0.0719	0.00514	600.4	0.979	0.724	63.9	102.5	19956.0	598.0	0.265	0.0206	4.63	6.68	2.01
SRR8074593	0.0538	0.00687	612.7	0.985	0.769	89.7	137.7	20030.0	605.0	0.305	0.0149	4.92	7.11	2.14
SRR8074594	0.104	0.00342	503.6	0.965	0.680	39.5	68.4	19978.0	500.0	0.319	0.0352	4.23	6.10	1.83
SRR8074595	0.127	0.00382	637.1	0.958	0.673	36.5	76.4	20020.0	626.0	0.338	0.042	4.34	6.26	1.88
SRR8074596	0.0731	0.00542	358.0	0.981	0.797	70.1	108.5	20027.0	358.0	0	0.0194	4.69	6.76	2.04
SRR8074597	0.0665	0.00475	543.3	0.978	0.725	60.8	95.0	19988.0	535.0	0.326	0.0216	4.55	6.57	1.98
SRR8074598	0.0617	0.00449	480.5	0.978	0.728	58.1	89.6	19967.0	479.0	0.227	0.0222	4.50	6.48	1.95
SRR8074600	0.0648	0.00434	514.2	0.977	0.716	56.1	86.7	19975.0	511.0	0.303	0.023	4.46	6.44	1.94
SRR8074601	0.0585	0.00508	569.3	0.979	0.729	62.8	101.5	19973.0	567.0	0.261	0.0211	4.62	6.67	2.01
SRR9003080	0.0684	0.00397	475.9	0.974	0.710	50.4	79.3	19966.0	472.0	0.288	0.0259	4.37	6.31	1.90
SRR9003084	0.0966	0.00267	388.6	0.963	0.667	34.2	53.2	19974.0	386.0	0.269	0.0372	3.97	5.73	1.73
SRR9003085	0.0977	0.00253	395.1	0.959	0.657	31.6	50.4	19959.0	389.0	0.331	0.0408	3.92	5.66	1.70
SRR9003086	0.0928	0.00252	374.3	0.962	0.662	33.0	50.2	19943.0	371.0	0.312	0.038	3.92	5.65	1.70
SRR9003087	0.148	0.0018	303.8	0.940	0.627	21.9	35.9	19950.0	302.0	0.244	0.0599	3.58	5.17	1.56
SRR9003088	0.180	0.00191	335.8	0.935	0.627	21.4	38.2	19949.0	333.0	0.290	0.065	3.64	5.26	1.58
